platform,date,mentions
instagram,2018-09-10,5
instagram,2018-09-11,3
instagram,2018-09-13,4
instagram,2018-09-14,2
instagram,2018-09-15,2
instagram,2018-09-16,1
instagram,2018-09-21,3
instagram,2018-09-22,2
instagram,2018-09-23,5
instagram,2018-09-24,4
instagram,2018-09-25,1
instagram,2018-09-26,3
instagram,2018-09-27,3
instagram,2018-09-28,1
instagram,2018-09-29,2
instagram,2018-09-30,2
instagram,2018-10-02,2
instagram,2018-10-03,2
instagram,2018-10-04,5
instagram,2018-10-05,1
instagram,2018-10-08,2
instagram,2018-10-09,1
instagram,2018-10-11,2
instagram,2018-10-13,2
instagram,2018-10-14,1
instagram,2018-10-15,3
instagram,2018-10-16,3
instagram,2018-10-17,2
instagram,2018-10-19,1
instagram,2018-10-20,2
instagram,2018-10-23,1
instagram,2018-10-24,1
instagram,2018-10-26,1
instagram,2018-10-27,2
instagram,2018-10-28,1
instagram,2018-11-01,2
instagram,2018-11-02,1
instagram,2018-11-06,1
instagram,2018-11-09,1
instagram,2018-11-10,1
instagram,2018-11-11,1
instagram,2018-11-12,1
instagram,2018-11-15,2
instagram,2018-11-16,2
instagram,2018-11-17,3
instagram,2018-11-18,1
instagram,2018-11-19,4
instagram,2018-11-20,1
instagram,2018-11-21,2
instagram,2018-11-22,1
instagram,2018-11-24,2
instagram,2018-11-25,2
instagram,2018-11-27,1
instagram,2018-11-28,1
instagram,2018-11-29,1
instagram,2018-11-30,1
instagram,2018-12-01,3
instagram,2018-12-03,1
instagram,2018-12-04,2
instagram,2018-12-05,1
instagram,2018-12-06,2
instagram,2018-12-08,1
instagram,2018-12-09,2
instagram,2018-12-11,1
instagram,2018-12-13,1
instagram,2018-12-15,1
instagram,2018-12-16,1
instagram,2018-12-17,1
instagram,2018-12-27,1
instagram,2018-12-28,1
instagram,2018-12-29,1
instagram,2018-12-30,2
instagram,2019-01-02,2
instagram,2019-01-03,1
instagram,2019-01-04,2
instagram,2019-01-05,1
instagram,2019-01-09,2
instagram,2019-01-12,1
instagram,2019-01-13,1
instagram,2019-01-14,1
instagram,2019-01-15,2
instagram,2019-01-18,1
instagram,2019-01-22,1
instagram,2019-01-24,1
instagram,2019-01-25,2
instagram,2019-01-27,1
instagram,2019-02-03,1
instagram,2019-02-04,2
instagram,2019-02-06,1
instagram,2019-02-11,1
instagram,2019-02-13,2
instagram,2019-02-14,1
instagram,2019-02-17,2
instagram,2019-02-19,1
instagram,2019-02-21,1
instagram,2019-02-22,1
instagram,2019-02-23,1
instagram,2019-02-26,1
instagram,2019-02-28,1
instagram,2019-03-03,3
instagram,2019-03-05,1
instagram,2019-03-06,2
instagram,2019-03-07,2
instagram,2019-03-08,1
instagram,2019-03-09,1
instagram,2019-03-10,1
instagram,2019-03-11,1
instagram,2019-03-13,1
instagram,2019-03-14,1
instagram,2019-03-15,2
instagram,2019-03-20,2
instagram,2019-03-21,1
instagram,2019-03-23,1
instagram,2019-03-24,3
instagram,2019-03-25,1
instagram,2019-03-26,1
instagram,2019-03-29,2
instagram,2019-03-30,2
instagram,2019-04-01,2
instagram,2019-04-05,1
instagram,2019-04-06,1
instagram,2019-04-09,2
instagram,2019-04-11,3
instagram,2019-04-13,1
instagram,2019-04-21,1
instagram,2019-04-22,1
instagram,2019-04-27,1
instagram,2019-04-29,1
instagram,2019-05-06,1
instagram,2019-05-07,1
instagram,2019-05-09,1
instagram,2019-05-12,2
instagram,2019-05-14,1
instagram,2019-05-16,1
instagram,2019-05-17,1
instagram,2019-05-20,3
instagram,2019-05-23,1
instagram,2019-05-27,2
instagram,2019-05-28,1
instagram,2019-06-01,1
instagram,2019-06-02,1
instagram,2019-06-03,1
instagram,2019-06-04,1
instagram,2019-06-05,1
instagram,2019-06-09,1
instagram,2019-06-10,1
instagram,2019-06-11,4
instagram,2019-06-14,1
instagram,2019-06-16,1
instagram,2019-06-17,2
instagram,2019-06-19,1
instagram,2019-06-20,1
instagram,2019-06-25,1
instagram,2019-06-28,2
instagram,2019-06-29,1
instagram,2019-06-30,1
instagram,2019-07-01,1
instagram,2019-07-02,1
instagram,2019-07-04,1
instagram,2019-07-06,1
instagram,2019-07-07,2
instagram,2019-07-08,1
instagram,2019-07-10,1
instagram,2019-07-11,1
instagram,2019-07-12,2
instagram,2019-07-13,1
instagram,2019-07-14,2
instagram,2019-07-15,1
instagram,2019-07-17,1
instagram,2019-07-18,1
instagram,2019-07-21,2
instagram,2019-07-22,1
instagram,2019-07-26,1
instagram,2019-07-28,2
instagram,2019-07-29,1
instagram,2019-07-30,2
instagram,2019-07-31,1
instagram,2019-08-01,2
instagram,2019-08-02,1
instagram,2019-08-04,1
instagram,2019-08-05,2
instagram,2019-08-06,4
instagram,2019-08-07,1
instagram,2019-08-08,2
instagram,2019-08-09,1
instagram,2019-08-10,1
instagram,2019-08-11,1
instagram,2019-08-12,1
instagram,2019-08-13,1
instagram,2019-08-14,1
instagram,2019-08-18,1
instagram,2019-08-22,1
instagram,2019-08-23,1
