date,mentions,ma,sd,z,is_peak
2018-02-12,1,1.7142857142857142,0.9583148474999101,-0.7453559924999296,False
2018-02-17,1,1.5,0.7319250547114001,-0.683130051063973,False
2018-02-18,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-02-19,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-02-24,1,1.2142857142857142,0.41032590332414526,-0.5222329678670928,False
2018-02-26,3,1.3571428571428572,0.6102859818083953,2.691946385511002,True
2018-03-02,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-03-04,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-03-07,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-03-08,2,1.3571428571428572,0.6102859818083953,1.0533703247651744,False
2018-03-09,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-10,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-11,2,1.3571428571428572,0.6102859818083953,1.0533703247651744,False
2018-03-12,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-14,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-18,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-24,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-26,3,1.4285714285714286,0.7284313590846838,2.1572774865200235,False
2018-03-27,1,1.4285714285714286,0.7284313590846838,-0.5883484054145519,False
2018-03-28,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-03-29,2,1.3571428571428572,0.6102859818083953,1.0533703247651744,False
2018-03-30,2,1.4285714285714286,0.6226998490772394,0.9176629354822465,False
2018-03-31,1,1.4285714285714286,0.6226998490772394,-0.688247201611685,False
2018-04-01,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-04-02,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-04-03,2,1.4285714285714286,0.6226998490772394,0.9176629354822465,False
2018-04-13,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-04-22,3,1.5,0.7319250547114001,2.049390153191919,False
2018-04-25,1,1.5,0.7319250547114001,-0.683130051063973,False
2018-04-26,1,1.5,0.7319250547114001,-0.683130051063973,False
2018-04-27,1,1.5,0.7319250547114001,-0.683130051063973,False
2018-04-29,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-05-01,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-05-06,1,1.3571428571428572,0.6102859818083953,-0.5852057359806527,False
2018-05-09,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-05-10,2,1.2857142857142858,0.5890150893739518,1.2126781251816643,False
2018-05-11,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-05-15,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-05-20,1,1.2857142857142858,0.5890150893739518,-0.4850712500726659,False
2018-05-24,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2018-05-25,1,1.2142857142857142,0.5578749768504756,-0.38411063979868754,False
2018-05-27,1,1.0714285714285714,0.2575393768188569,-0.27735009811261385,False
2018-06-08,1,1.0714285714285714,0.2575393768188569,-0.27735009811261385,False
2018-06-09,2,1.1428571428571428,0.349927106111883,2.4494897427831757,False
2018-06-11,1,1.1428571428571428,0.349927106111883,-0.40824829046386235,False
2018-06-17,1,1.1428571428571428,0.349927106111883,-0.40824829046386235,False
2018-06-18,2,1.2142857142857142,0.41032590332414526,1.9148542155126749,False
2018-06-23,1,1.2142857142857142,0.41032590332414526,-0.5222329678670928,False
2018-06-24,1,1.2142857142857142,0.41032590332414526,-0.5222329678670928,False
