week,sov_honda,mentions_total,mentions_google_reviews,mentions_instagram,mentions_youtube,views_sum,reviews,avg_rating,pos_share,product_cover_share
2023-08-21,1.0,22,0.0,22.0,0.0,,,,,0.0
2023-08-28,1.0,16,0.0,16.0,0.0,,,,,1.0
2023-09-04,1.0,25,0.0,25.0,0.0,,,,,1.0
2023-09-11,1.0,39,1.0,38.0,0.0,,1.0,5.0,1.0,0.4375
2023-09-18,1.0,20,0.0,20.0,0.0,,,,,0.6
2023-09-25,1.0,21,1.0,20.0,0.0,,1.0,1.0,0.0,0.5
2023-10-02,1.0,16,0.0,16.0,0.0,,,,,0.5
2023-10-09,1.0,20,0.0,20.0,0.0,,,,,0.6666666666666666
2023-10-16,0.9285714285714286,21,0.0,21.0,0.0,,,,,0.6923076923076923
2023-10-23,1.0,11,1.0,10.0,0.0,,1.0,5.0,1.0,0.625
2023-10-30,0.9230769230769231,25,0.0,25.0,0.0,,,,,0.6666666666666666
2023-11-06,1.0,23,0.0,23.0,0.0,,,,,0.5454545454545454
2023-11-13,1.0,22,1.0,21.0,0.0,,1.0,5.0,1.0,0.5
2023-11-20,1.0,22,0.0,22.0,0.0,,,,,1.0
2023-11-27,1.0,21,0.0,21.0,0.0,,,,,0.42857142857142855
2023-12-04,0.875,13,1.0,12.0,0.0,,1.0,5.0,1.0,0.42857142857142855
2023-12-11,1.0,20,0.0,20.0,0.0,,,,,0.75
2023-12-18,1.0,19,0.0,19.0,0.0,,,,,0.5714285714285714
2023-12-25,1.0,18,0.0,18.0,0.0,,,,,0.3333333333333333
2024-01-01,1.0,26,0.0,26.0,0.0,,,,,0.46153846153846156
2024-01-08,1.0,30,0.0,30.0,0.0,,,,,0.5714285714285714
2024-01-15,1.0,14,0.0,14.0,0.0,,,,,1.0
2024-01-22,1.0,30,1.0,29.0,0.0,,1.0,5.0,1.0,0.38461538461538464
