source,target,weight,types,rating_avg,city
arnaupuigphoto,@hondamotoses,2,ig_mention,,
arnaupuigphoto,@francescmonterophoto,2,ig_mention,,
arnaupuigphoto,@eduvisuals,2,ig_mention,,
arnaupuigphoto,@ula_photo_video,2,ig_mention,,
adirusman36,@rnj_motosport,2,ig_mention,,
kmirabet38,@hondamotoses,12,ig_mention,,
kmirabet38,@arnaupuigphoto,4,ig_mention,,
kmirabet38,@ls2europe,6,ig_mention,,
kmirabet38,@francescmonterophoto,3,ig_mention,,
kmirabet38,@eduvisuals,2,ig_mention,,
crf1100africatwin,@crf1100africatwin,2,ig_mention,,
overland__oman,@outback_motortek,2,ig_mention,,
overland__oman,@hondamotorcyclesoman,3,ig_mention,,
overland__oman,@honda.africa.twin.fans,2,ig_mention,,
overland__oman,@crf1100africatwin,2,ig_mention,,
overland__oman,@africa_twin_riders,2,ig_mention,,
overland__oman,@worldafricatwinriders,2,ig_mention,,
overland__oman,@africa_twin_oficial,2,ig_mention,,
overland__oman,@stylmartin_official,2,ig_mention,,
africatwincouplebr,@africa_twin_riders,5,ig_mention,,
africatwincouplebr,@hondamotosbr,6,ig_mention,,
ridedownsouth,@ridedownsouth.com,3,ig_mention,,
thyblu_rider,@richamoto,5,ig_mention,,
thyblu_rider,@revitt_official,2,ig_mention,,
thyblu_rider,@alpinestars,2,ig_mention,,
thyblu_rider,@mkcmoto,2,ig_mention,,
thyblu_rider,@ekomotorwear,2,ig_mention,,
thyblu_rider,@motoutlet_motor_fashian,2,ig_mention,,
thyblu_rider,@R,2,ig_mention,,
thyblu_rider,@swmotech,2,ig_mention,,
thyblu_rider,@knz_concept,2,ig_mention,,
thyblu_rider,@quadlockmoto,2,ig_mention,,
thyblu_rider,@hondamertensbrussel,2,ig_mention,,
r6realtor1,@flashedbyvcyclenut,6,ig_mention,,
r6realtor1,@motoxindustries.,3,ig_mention,,
_davidpalacios_23,@motosan_es,2,ig_mention,,
_davidpalacios_23,@hondamotoses,2,ig_mention,,
peter_on_tour_,@hepcobecker,2,ig_mention,,
motofanscz,@africa_twin_czech_rider,2,ig_mention,,
motofanscz,@usernameistakenbrah,6,ig_mention,,
motofanscz,@loneridergear,2,ig_mention,,
motofanscz,@north.twin.rider,4,ig_mention,,
motofanscz,@motorradboxdachau,3,ig_mention,,
motochecker,@julezz_official,2,ig_mention,,
fabryrock,@hondamotoitalia,3,ig_mention,,
fabryrock,@smotard_necktube,3,ig_mention,,
fabryrock,@alpadistribution,2,ig_mention,,
fabryrock,@alpinestars,3,ig_mention,,
fabryrock,@givi_official,3,ig_mention,,
fabryrock,@giviexplorer,2,ig_mention,,
sup_and_bikes,@hondamotoses,2,ig_mention,,
sup_and_bikes,@honda,2,ig_mention,,
trailarena,@trailarena,2,ig_mention,,
carounterwex,@hondamotorrad_de,2,ig_mention,,
_beardeer_,@anoiamotos,2,ig_mention,,
jdanielvoliveira,@nuno_gago,2,ig_mention,,
jdanielvoliveira,@hondamotos.pt,2,ig_mention,,
charly_unlimited,@unobike,2,ig_mention,,
graudosfoguete,@graudosfoguete,5,ig_mention,,
honda.sebastien,@honda_powersports_us,5,ig_mention,,
honda.sebastien,@loneridergear,5,ig_mention,,
honda.sebastien,@outback_motortek,5,ig_mention,,
honda.sebastien,@barkbustershandguards,5,ig_mention,,
honda.sebastien,@doubletakemirrors,5,ig_mention,,
honda.sebastien,@araiamericas,2,ig_mention,,
honda.sebastien,@daineseofficial,5,ig_mention,,
honda.sebastien,@cardosystems,5,ig_mention,,
honda.sebastien,@insta360,5,ig_mention,,
honda.sebastien,@509motorcycle,3,ig_mention,,
advbyroro,@loneridergear,4,ig_mention,,
advbyroro,@strandslightingdivision,3,ig_mention,,
chainy_youtube,@wunderlich_gmbh,2,ig_mention,,
chainy_youtube,@carambachemie,2,ig_mention,,
chainy_youtube,@nolan_helmets_de,2,ig_mention,,
chainy_youtube,@metal_moto,2,ig_mention,,
chainy_youtube,@swmotech,2,ig_mention,,
chainy_youtube,@cardosystems_de,2,ig_mention,,
chainy_youtube,@himora_motors,2,ig_mention,,
